author,species,numInd,p/i,country,state,city,lat,long,year,month,day,biosamp,sra,identifier
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157435,SRS1466665,Palmieri:Zuma:California:USA:Feb:11:2012:Sz99
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157434,SRS1466664,Palmieri:Zuma:California:USA:Feb:11:2012:Sz97
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157433,SRS1466663,Palmieri:Zuma:California:USA:Feb:11:2012:Sz93
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157432,SRS1466661,Palmieri:Zuma:California:USA:Feb:11:2012:Sz91
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157431,SRS1466660,Palmieri:Zuma:California:USA:Feb:11:2012:Sz90
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157430,SRS1466659,Palmieri:Zuma:California:USA:Feb:11:2012:Sz9
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157429,SRS1466657,Palmieri:Zuma:California:USA:Feb:11:2012:Sz87
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157428,SRS1466658,Palmieri:Zuma:California:USA:Feb:11:2012:Sz84
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157427,SRS1466656,Palmieri:Zuma:California:USA:Feb:11:2012:Sz83
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157426,SRS1466655,Palmieri:Zuma:California:USA:Feb:11:2012:Sz82
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157425,SRS1466654,Palmieri:Zuma:California:USA:Feb:11:2012:Sz80
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157424,SRS1466653,Palmieri:Zuma:California:USA:Feb:11:2012:Sz8
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157423,SRS1466651,Palmieri:Zuma:California:USA:Feb:11:2012:Sz77
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157422,SRS1466649,Palmieri:Zuma:California:USA:Feb:11:2012:Sz76
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157421,SRS1466647,Palmieri:Zuma:California:USA:Feb:11:2012:Sz75
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157420,SRS1466646,Palmieri:Zuma:California:USA:Feb:11:2012:Sz71
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157419,SRS1466648,Palmieri:Zuma:California:USA:Feb:11:2012:Sz68
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157418,SRS1466645,Palmieri:Zuma:California:USA:Feb:11:2012:Sz65
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157417,SRS1466644,Palmieri:Zuma:California:USA:Feb:11:2012:Sz64
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157416,SRS1466643,Palmieri:Zuma:California:USA:Feb:11:2012:Sz62
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157415,SRS1466642,Palmieri:Zuma:California:USA:Feb:11:2012:Sz60
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157414,SRS1466641,Palmieri:Zuma:California:USA:Feb:11:2012:Sz6
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157413,SRS1466640,Palmieri:Zuma:California:USA:Feb:11:2012:Sz58
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157412,SRS1466637,Palmieri:Zuma:California:USA:Feb:11:2012:Sz57
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157411,SRS1466638,Palmieri:Zuma:California:USA:Feb:11:2012:Sz56
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157410,SRS1466636,Palmieri:Zuma:California:USA:Feb:11:2012:Sz54
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157409,SRS1466635,Palmieri:Zuma:California:USA:Feb:11:2012:Sz53
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157408,SRS1466634,Palmieri:Zuma:California:USA:Feb:11:2012:Sz52
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157407,SRS1466633,Palmieri:Zuma:California:USA:Feb:11:2012:Sz5
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157406,SRS1466632,Palmieri:Zuma:California:USA:Feb:11:2012:Sz49
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157405,SRS1466631,Palmieri:Zuma:California:USA:Feb:11:2012:Sz48
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157404,SRS1466630,Palmieri:Zuma:California:USA:Feb:11:2012:Sz47
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157403,SRS1466629,Palmieri:Zuma:California:USA:Feb:11:2012:Sz46
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157402,SRS1466628,Palmieri:Zuma:California:USA:Feb:11:2012:Sz45
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157401,SRS1466626,Palmieri:Zuma:California:USA:Feb:11:2012:Sz43
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157400,SRS1466625,Palmieri:Zuma:California:USA:Feb:11:2012:Sz41
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157399,SRS1466624,Palmieri:Zuma:California:USA:Feb:11:2012:Sz40
Signor,Drosophila simulans,20,I,USA,California,Zuma,34.0259N,118.7798W,2012,Feb,11,SAMN05157398,SRS1466623,Palmieri:Zuma:California:USA:Feb:11:2012:Sz4
