author,species,numInd,p/i,country,state,city,lat,long,year,month,day,biosamp,sra,identifier
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069544,ERR1980726,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_1
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069544,ERR1980727,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_1
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069544,ERR1980728,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_1
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069544,ERR1980729,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_1
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069544,ERR1980730,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_1
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069544,ERR1980732,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_1
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069544,ERR1980733,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_1
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069544,ERR1980734,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_1
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069544,ERR1980735,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_1
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069545,ERR1980736,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_3
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069545,ERR1980737,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_3
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069545,ERR1980738,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_3
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069545,ERR1980739,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_3
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069545,ERR1980740,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_3
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069545,ERR1980741,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_3
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069545,ERR1980743,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_3
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069545,ERR1980744,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_3
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069545,ERR1980745,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_3
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069546,ERR1980746,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_5
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069546,ERR1980747,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_5
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069546,ERR1980748,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_5
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069546,ERR1980749,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_5
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069546,ERR1980750,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_5
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069546,ERR1980751,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_5
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069546,ERR1980752,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_5
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069546,ERR1980753,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_5
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069546,ERR1980754,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_5
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069546,ERR1980755,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Base_5
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069547,ERR1987203,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Hot_1
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069547,ERR1987204,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Hot_1
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069547,ERR1987205,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Hot_1
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069547,ERR1987206,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Hot_1
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069547,ERR1987207,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Hot_1
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069548,ERR1987208,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Hot_3
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069548,ERR1987209,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Hot_3
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069548,ERR1987210,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Hot_3
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069548,ERR1987211,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Hot_3
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069548,ERR1987212,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Hot_3
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069549,ERR1987213,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Hot_5
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069549,ERR1987214,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Hot_5
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069549,ERR1987215,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Hot_5
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069549,ERR1987216,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Hot_5
Barghi,Drosophila simulans,1000,P,USA,Florida,Tallahassee,30.4383,84.2807,2010,Nov,NA,SAMEA104069549,ERR1987217,Barghi:Tallahassee:Florida:USA:Nov:NA:2010:Dsim_Fl_Hot_5
