pop1,pop2,nei
ES_Gim_14_34,Machado:Linvilla:Pennsylania:North_America:Jul:01:2010:ECsimPA7_2010_pool_of_65_individuals,0.123992308032811
ES_Gim_14_34,Machado:Linvilla:Pennsylania:North_America:Sep:01:2010:ECsimPA9_2010_pool_of_50_individuals,0.119787429637433
ES_Gim_14_34,PT_Rec_15_16,0.107558034450878
ES_Gim_14_34,Sedghifar:Conway:South_Carolina:North_America:Sep:NA:2011:D._sim_South_Carolina,0.251168958873613
ES_Gim_14_34,Sedghifar:Fairfield:Maine:North_America:Sep:NA:2011:D._sim_Maine,0.195634259911844
ES_Gim_14_34,Sedghifar:Miami:Florida:North_America:Sep:NA:2011:Florida,0.209541200538426
ES_Gim_14_34,Sedghifar:Panama_City:Panama:North_America:Jan:NA:2012:D._sim_Panama,0.187596048451556
ES_Gim_14_34,Sedghifar:Princeton:New_Jersey:North_America:Sep:NA:2011:D._sim_New_Jersey,0.180308574264302
ES_Gim_14_34,Sedghifar:Providence:Rhode_Island:North_America:Sep:NA:2011:D.sim_Rhode_Island,0.157637375017111
ES_Gim_14_34,Sedghifar:Raleigh:North_Carolina:North_America:Sep:NA:2011:D._sim_North_Carolina,0.181772584870942
ES_Gim_14_34,Sedghifar:Richmod:Virginia:North_America:Sep:NA:2011:D._sim_Virginia,0.182217695818239
ES_Gim_14_34,Sedghifar:Savannah:Georgia:North_America:Sep:NA:2011:D._sim_Georgia,0.198070643488409
ES_Gim_14_34,Kenya.Nairobi.2006.NA,0.225864709439049
ES_Gim_14_34,Madagascar.Joffreville.2002.NA,0.214815973665015
ES_Gim_14_34,Israel.NFS.2014.Oct,0.159628620240111
ES_Gim_14_34,Israel.SFS.2014.Oct,0.152123466781028
ES_Gim_14_34,USA.Linvilla.2011.Aug,0.356561799432737
ES_Gim_14_34,USA.Linvilla.2011.Sep,0.311966829557625
ES_Gim_14_34,USA.Charlottesville.2010.Sep,0.283223249406084
ES_Gim_14_34,USA.Bowdoin.2011.Oct,0.217924481879249
ES_Gim_14_34,USA.Homestead.2011.May,0.322333471867729
ES_Gim_14_34,USA.Linvilla.2011.Nov,0.390588884449708
ES_Gim_14_34,USA.Zuma.2012.Feb,0.120242416971677
ES_Gim_14_35,Barghi:Tallahassee:Florida:North_America:Nov:NA:2010:Dsim_Fl_Base_1,0.144244803995293
ES_Gim_14_35,ES_Gim_14_34,0.143177515707907
ES_Gim_14_35,ES_Gim_14_35,0
ES_Gim_14_35,ES_Gim_16_33,0.120573009145866
ES_Gim_14_35,ES_Pur_16_35,0.132978490911897
ES_Gim_14_35,FR_Got_15_48,0.183196664947386
